test,heuristicType,dimension,constraints,operations,solutionFound,second
1,0,4,4,51,false,6.0E-4
1,1,4,4,49,false,6.0E-4
1,2,4,4,17,false,2.0E-4
1,3,4,4,43,false,6.0E-4
1,4,4,4,45,false,0.001
2,0,4,6,227,true,4.0E-4
2,1,4,6,223,true,2.0E-4
2,2,4,6,196,true,4.0E-4
2,3,4,6,228,true,0.001
2,4,4,6,59,true,6.0E-4
3,0,4,4,205,true,2.0E-4
3,1,4,4,205,true,2.0E-4
3,2,4,4,221,true,4.0E-4
3,3,4,4,33,true,0.0
3,4,4,4,39,true,4.0E-4
4,0,4,4,16,true,0.0
4,1,4,4,16,true,2.0E-4
4,2,4,4,16,true,0.0
4,3,4,4,30,true,0.0
4,4,4,4,120,true,0.001
5,0,4,6,718,true,4.0E-4
5,1,4,6,708,true,6.0E-4
5,2,4,6,582,true,8.0E-4
5,3,4,6,770,true,0.002
5,4,4,6,257,true,0.0018
6,0,4,6,83,true,0.0
6,1,4,6,83,true,0.0
6,2,4,6,71,true,0.0
6,3,4,6,466,true,0.0012
6,4,4,6,253,true,0.0024
7,0,4,1,22,true,0.0
7,1,4,1,21,true,0.0
7,2,4,1,18,true,0.0
7,3,4,1,19,true,2.0E-4
7,4,4,1,30,true,2.0E-4
8,0,4,5,283,true,2.0E-4
8,1,4,5,281,true,0.0
8,2,4,5,218,true,2.0E-4
8,3,4,5,246,true,4.0E-4
8,4,4,5,335,true,0.0028
9,0,4,6,99,true,0.0
9,1,4,6,97,true,0.0
9,2,4,6,89,true,2.0E-4
9,3,4,6,113,true,2.0E-4
9,4,4,6,160,true,0.0026
10,0,4,4,80,true,0.0
10,1,4,4,65,true,0.0
10,2,4,4,80,true,2.0E-4
10,3,4,4,21,true,0.0
10,4,4,4,39,true,2.0E-4
11,0,4,6,178,true,0.0
11,1,4,6,175,true,2.0E-4
11,2,4,6,142,true,0.0
11,3,4,6,93,true,2.0E-4
11,4,4,6,74,true,6.0E-4
12,0,4,5,55,true,0.0
12,1,4,5,55,true,2.0E-4
12,2,4,5,76,true,0.0
12,3,4,5,108,true,2.0E-4
12,4,4,5,69,true,6.0E-4
13,0,4,6,245,true,0.0
13,1,4,6,237,true,2.0E-4
13,2,4,6,205,true,2.0E-4
13,3,4,6,290,true,6.0E-4
13,4,4,6,166,true,0.001
14,0,4,5,83,true,2.0E-4
14,1,4,5,81,true,0.0
14,2,4,5,79,true,0.0
14,3,4,5,85,true,2.0E-4
14,4,4,5,74,true,6.0E-4
15,0,4,5,428,true,2.0E-4
15,1,4,5,414,true,2.0E-4
15,2,4,5,243,true,2.0E-4
15,3,4,5,36,true,0.0
15,4,4,5,68,true,4.0E-4
16,0,4,6,222,true,0.0
16,1,4,6,217,true,2.0E-4
16,2,4,6,184,true,2.0E-4
16,3,4,6,418,true,8.0E-4
16,4,4,6,272,true,0.0014
17,0,5,5,686,true,4.0E-4
17,1,5,5,648,true,4.0E-4
17,2,5,5,169,true,2.0E-4
17,3,5,5,87,true,2.0E-4
17,4,5,5,176,true,0.0012
18,0,5,7,193,true,0.0
18,1,5,7,191,true,2.0E-4
18,2,5,7,749,true,0.001
18,3,5,7,500,true,0.0014
18,4,5,7,94,true,8.0E-4
19,0,5,8,1221,true,0.001
19,1,5,8,1197,true,0.001
19,2,5,8,1674,true,0.0034
19,3,5,8,7137,true,0.0172
19,4,5,8,1147,true,0.0062
20,0,5,4,2127,true,6.0E-4
20,1,5,4,1944,true,6.0E-4
20,2,5,4,65,true,2.0E-4
20,3,5,4,437,true,0.001
20,4,5,4,7253,true,0.030199999999999998
21,0,5,10,9256,true,0.003
21,1,5,10,9035,true,0.0046
21,2,5,10,6992,true,0.0086
21,3,5,10,1177,true,0.0022
21,4,5,10,163,true,6.0E-4
22,0,5,7,441,true,2.0E-4
22,1,5,7,434,true,2.0E-4
22,2,5,7,265,true,2.0E-4
22,3,5,7,1553,true,0.0024
22,4,5,7,474,true,0.002
23,0,5,7,511,true,2.0E-4
23,1,5,7,511,true,2.0E-4
23,2,5,7,561,true,0.001
23,3,5,7,19492,true,0.0314
23,4,5,7,1034,true,0.0068
24,0,5,6,2016,true,6.0E-4
24,1,5,6,1925,true,0.001
24,2,5,6,1811,true,0.002
24,3,5,6,2800,true,0.0052
24,4,5,6,650,true,0.0036
25,0,5,8,704,true,2.0E-4
25,1,5,8,683,true,2.0E-4
25,2,5,8,361,true,6.0E-4
25,3,5,8,4558,true,0.008
25,4,5,8,7127,true,0.033600000000000005
26,0,5,7,44,true,0.0
26,1,5,7,44,true,0.0
26,2,5,7,66,true,2.0E-4
26,3,5,7,7382,true,0.013
26,4,5,7,296,true,0.001
27,0,5,11,419,true,0.0
27,1,5,11,408,true,2.0E-4
27,2,5,11,435,true,6.0E-4
27,3,5,11,292,true,6.0E-4
27,4,5,11,176,true,8.0E-4
28,0,5,7,189,true,0.0
28,1,5,7,149,true,2.0E-4
28,2,5,7,718,true,8.0E-4
28,3,5,7,739,true,0.0014
28,4,5,7,441,true,0.0024
29,0,5,8,3473,true,8.0E-4
29,1,5,8,3186,true,0.0012
29,2,5,8,3511,true,0.003
29,3,5,8,1182,true,0.002
29,4,5,8,2415,true,0.0116
30,0,5,9,3909,true,0.001
30,1,5,9,3781,true,0.0014
30,2,5,9,3073,true,0.0036
30,3,5,9,479,true,0.001
30,4,5,9,359,true,0.0024
31,0,5,10,920,true,2.0E-4
31,1,5,10,773,true,2.0E-4
31,2,5,10,417,true,6.0E-4
31,3,5,10,1798,true,0.0034
31,4,5,10,161,true,0.001
32,0,5,9,15983,true,0.0038
32,1,5,9,14908,true,0.005
32,2,5,9,11176,true,0.009
32,3,5,9,37116,true,0.0686
32,4,5,9,6076,true,0.0446
33,0,6,14,14246,true,0.004200000000000001
33,1,6,14,13088,true,0.006
33,2,6,14,20101,true,0.0324
33,3,6,14,291910,true,1.018
33,4,6,14,11577,true,0.1008
34,0,6,12,172253,true,0.0422
34,1,6,12,143426,true,0.0554
34,2,6,12,164845,true,0.30619999999999997
34,3,6,12,328262,true,1.0208
34,4,6,12,36907,true,0.2326
35,0,6,20,96564,true,0.0286
35,1,6,20,91226,true,0.04
35,2,6,20,18054,true,0.0332
35,3,6,20,393208,true,1.4398
35,4,6,20,50033,true,0.4678
36,0,6,14,3374,true,0.001
36,1,6,14,3304,true,0.0014
36,2,6,14,12047,true,0.0286
36,3,6,14,77564,true,0.4104
36,4,6,14,3333,true,0.0342
37,0,6,12,1000000,false,0.2784
37,1,6,12,1000000,false,0.421
37,2,6,12,149492,true,0.2248
37,3,6,12,572121,true,1.7172
37,4,6,12,4460,true,0.0292
38,0,6,10,14652,true,0.0038
38,1,6,10,13790,true,0.0054
38,2,6,10,7425,true,0.0136
38,3,6,10,14044,true,0.038799999999999994
38,4,6,10,18893,true,0.11359999999999999
39,0,6,8,4391,true,0.001
39,1,6,8,4074,true,0.002
39,2,6,8,494,true,4.0E-4
39,3,6,8,12392,true,0.0314
39,4,6,8,17440,true,0.1162
40,0,6,15,1000000,false,0.30119999999999997
40,1,6,15,1000000,false,0.442
40,2,6,15,869544,true,2.527
40,3,6,15,1000000,false,3.3868
40,4,6,15,303871,true,2.4032
41,0,6,14,4461,true,0.0014
41,1,6,14,4328,true,0.0018
41,2,6,14,9423,true,0.0206
41,3,6,14,204462,true,0.6966
41,4,6,14,6427,true,0.0466
42,0,6,16,50711,true,0.0136
42,1,6,16,46527,true,0.018600000000000002
42,2,6,16,31083,true,0.045
42,3,6,16,344580,true,1.1678
42,4,6,16,64981,true,0.6446000000000001
43,0,6,12,5416,true,0.0014
43,1,6,12,4702,true,0.002
43,2,6,12,3672,true,0.0046
43,3,6,12,4839,true,0.012199999999999999
43,4,6,12,14655,true,0.0984
44,0,6,7,317,true,0.0
44,1,6,7,304,true,2.0E-4
44,2,6,7,590,true,0.0012
44,3,6,7,1970,true,0.0052
44,4,6,7,31135,true,0.1724
45,0,6,18,54495,true,0.016399999999999998
45,1,6,18,53574,true,0.024399999999999998
45,2,6,18,170993,true,0.4704
45,3,6,18,749346,true,2.5148
45,4,6,18,15365,true,0.1648
46,0,6,10,147213,true,0.0386
46,1,6,10,122000,true,0.0482
46,2,6,10,45506,true,0.0574
46,3,6,10,61032,true,0.18519999999999998
46,4,6,10,6668,true,0.052
47,0,6,14,2338,true,8.0E-4
47,1,6,14,2334,true,0.001
47,2,6,14,12769,true,0.024
47,3,6,14,505751,true,1.416
47,4,6,14,153320,true,1.3834000000000002
48,0,6,12,236202,true,0.061200000000000004
48,1,6,12,224043,true,0.09240000000000001
48,2,6,12,421725,true,0.826
48,3,6,12,104025,true,0.3474
48,4,6,12,52740,true,0.33080000000000004
49,0,7,18,231027,true,0.064
49,1,7,18,156323,true,0.07540000000000001
49,2,7,18,656304,true,2.336
49,3,7,18,1000000,false,4.5208
49,4,7,18,1000000,false,11.6344
50,0,7,20,1000000,false,0.32339999999999997
50,1,7,20,1000000,false,0.5052
50,2,7,20,1000000,false,2.7534
50,3,7,20,1000000,false,4.359
50,4,7,20,1000000,false,16.642799999999998
51,0,7,23,1000000,false,0.351
51,1,7,23,1000000,false,0.5468
51,2,7,23,1000000,false,4.102600000000001
51,3,7,23,1000000,false,5.024
51,4,7,23,175707,true,2.4446
52,0,7,16,1000000,false,0.262
52,1,7,16,1000000,false,0.4446
52,2,7,16,1000000,false,2.2874
52,3,7,16,1000000,false,4.6116
52,4,7,16,555250,true,5.0222
53,0,7,22,1000000,false,0.3108
53,1,7,22,1000000,false,0.49560000000000004
53,2,7,22,1000000,false,2.3891999999999998
53,3,7,22,1000000,false,5.354
53,4,7,22,1000000,false,16.603
54,0,7,16,284660,true,0.0716
54,1,7,16,224515,true,0.0978
54,2,7,16,42044,true,0.10940000000000001
54,3,7,16,74833,true,0.30960000000000004
54,4,7,16,201434,true,1.9232
55,0,7,19,55799,true,0.016399999999999998
55,1,7,19,53336,true,0.0264
55,2,7,19,298863,true,0.7854
55,3,7,19,1000000,false,3.907
55,4,7,19,1000000,false,9.569600000000001
56,0,7,25,570332,true,0.166
56,1,7,25,532544,true,0.2542
56,2,7,25,25315,true,0.1142
56,3,7,25,6620,true,0.037200000000000004
56,4,7,25,509987,true,7.0926
57,0,7,18,1000000,false,0.281
57,1,7,18,1000000,false,0.4802
57,2,7,18,1000000,false,2.4414000000000002
57,3,7,18,1000000,false,4.7414
57,4,7,18,678246,true,7.3852
58,0,7,17,342639,true,0.09659999999999999
58,1,7,17,321059,true,0.151
58,2,7,17,1179,true,0.0028
58,3,7,17,19693,true,0.0756
58,4,7,17,24283,true,0.309
59,0,7,20,1000000,false,0.2804
59,1,7,20,1000000,false,0.45080000000000003
59,2,7,20,1000000,false,2.3678000000000003
59,3,7,20,1000000,false,5.0954
59,4,7,20,1000000,false,11.8536
60,0,7,16,282035,true,0.0714
60,1,7,16,214881,true,0.09459999999999999
60,2,7,16,189160,true,0.35760000000000003
60,3,7,16,151156,true,0.6063999999999999
60,4,7,16,176017,true,1.4424000000000001
61,0,7,16,936325,true,0.224
61,1,7,16,493975,true,0.2196
61,2,7,16,111433,true,0.2494
61,3,7,16,428171,true,1.7024000000000001
61,4,7,16,1000000,false,11.4852
62,0,7,22,1000000,false,0.2888
62,1,7,22,1000000,false,0.47
62,2,7,22,1000000,false,5.7548
62,3,7,22,1000000,false,4.2556
62,4,7,22,219538,true,2.7038
63,0,7,24,1000000,false,0.29919999999999997
63,1,7,24,1000000,false,0.48360000000000003
63,2,7,24,1000000,false,3.1378000000000004
63,3,7,24,1000000,false,4.5942
63,4,7,24,1000000,false,13.7448
64,0,7,22,1000000,false,0.26780000000000004
64,1,7,22,1000000,false,0.4668
64,2,7,22,1000000,false,3.5854
64,3,7,22,1000000,false,4.828399999999999
64,4,7,22,17606,true,0.3658
65,0,8,21,1000000,false,0.2876
65,1,8,21,1000000,false,0.5246000000000001
65,2,8,21,1000000,false,4.949199999999999
65,3,8,21,1000000,false,7.0156
65,4,8,21,1000000,false,22.340799999999998
66,0,8,31,1000000,false,0.3498
66,1,8,31,1000000,false,0.5784
66,2,8,31,1000000,false,5.1392
66,3,8,31,1000000,false,8.0426
66,4,8,31,1000000,false,21.3122
67,0,8,25,1000000,false,0.24919999999999998
67,1,8,25,1000000,false,0.4766
67,2,8,25,1000000,false,7.255199999999999
67,3,8,25,1000000,false,7.551399999999999
67,4,8,25,1000000,false,12.1232
68,0,8,30,1000000,false,0.3402
68,1,8,30,1000000,false,0.5888
68,2,8,30,1000000,false,5.6858
68,3,8,30,1000000,false,7.5036000000000005
68,4,8,30,33337,true,0.4814
69,0,8,29,1000000,false,0.2748
69,1,8,29,1000000,false,0.503
69,2,8,29,1000000,false,4.33
69,3,8,29,1000000,false,7.3386000000000005
69,4,8,29,1000000,false,22.3838
70,0,8,26,1000000,false,0.32539999999999997
70,1,8,26,1000000,false,0.5347999999999999
70,2,8,26,1000000,false,4.3202
70,3,8,26,1000000,false,5.639399999999999
70,4,8,26,1000000,false,17.484599999999997
71,0,8,24,1000000,false,0.2716
71,1,8,24,1000000,false,0.4818
71,2,8,24,1000000,false,4.9322
71,3,8,24,1000000,false,6.5128
71,4,8,24,86287,true,1.2672
72,0,8,22,1000000,false,0.26139999999999997
72,1,8,22,1000000,false,0.4938
72,2,8,22,1000000,false,4.712
72,3,8,22,1000000,false,6.1213999999999995
72,4,8,22,1000000,false,11.7326
73,0,8,30,1000000,false,0.3468
73,1,8,30,1000000,false,0.58
73,2,8,30,1000000,false,11.383799999999999
73,3,8,30,1000000,false,7.7874
73,4,8,30,1000000,false,17.1052
74,0,8,34,1000000,false,0.3458
74,1,8,34,1000000,false,0.5628
74,2,8,34,1000000,false,3.9671999999999996
74,3,8,34,1000000,false,6.952
74,4,8,34,1000000,false,22.125
75,0,8,26,1000000,false,0.29660000000000003
75,1,8,26,1000000,false,0.5402
75,2,8,26,1000000,false,4.4601999999999995
75,3,8,26,1000000,false,6.421399999999999
75,4,8,26,212692,true,2.542
76,0,8,33,1000000,false,0.2994
76,1,8,33,1000000,false,0.511
76,2,8,33,1000000,false,4.7216000000000005
76,3,8,33,1000000,false,8.5466
76,4,8,33,1000000,false,19.9404
77,0,8,31,1000000,false,0.387
77,1,8,31,1000000,false,0.6246
77,2,8,31,1000000,false,6.6574
77,3,8,31,1000000,false,6.5634
77,4,8,31,1000000,false,32.6332
78,0,8,38,1000000,false,0.31980000000000003
78,1,8,38,1000000,false,0.533
78,2,8,38,1000000,false,3.4252
78,3,8,38,1000000,false,7.3991999999999996
78,4,8,38,1000000,false,22.1876
79,0,8,31,1000000,false,0.3314
79,1,8,31,1000000,false,0.569
79,2,8,31,1000000,false,6.102600000000001
79,3,8,31,1000000,false,7.5748
79,4,8,31,1000000,false,20.7836
80,0,8,33,1000000,false,0.3206
80,1,8,33,1000000,false,0.5572
80,2,8,33,1000000,false,6.2744
80,3,8,33,1000000,false,6.8671999999999995
80,4,8,33,1000000,false,22.4904
81,0,9,41,1000000,false,0.35660000000000003
81,1,9,41,1000000,false,0.6482
81,2,9,41,1000000,false,4.974600000000001
